"Group(N)","Group","Time (months)-xaxis","Probability (%)-yaxis","Time (months)-xaxis Censor","Probability (%)-yaxis Censor"
1,Cohort A,12.878850103,61.113955651,12.878850103,61.113955651
1,Cohort A,13.01026694,61.113955651,13.01026694,61.113955651
1,Cohort A,13.01026694,61.113955651,13.01026694,61.113955651
1,Cohort A,13.01026694,61.113955651,13.01026694,61.113955651
1,Cohort A,13.075975359,61.113955651,13.075975359,61.113955651
1,Cohort A,13.240246407,61.113955651,13.240246407,61.113955651
1,Cohort A,13.273100616,59.960862148,13.273100616,
1,Cohort A,13.305954825,59.960862148,13.305954825,59.960862148
1,Cohort A,13.305954825,59.960862148,13.305954825,59.960862148
1,Cohort A,13.305954825,59.960862148,13.305954825,59.960862148
1,Cohort A,13.338809035,59.960862148,13.338809035,59.960862148
1,Cohort A,13.371663244,58.71167752,13.371663244,
1,Cohort A,13.404517454,58.71167752,13.404517454,58.71167752
1,Cohort A,13.404517454,58.71167752,13.404517454,58.71167752
1,Cohort A,13.437371663,58.71167752,13.437371663,58.71167752
1,Cohort A,13.437371663,58.71167752,13.437371663,58.71167752
1,Cohort A,13.503080082,58.71167752,13.503080082,58.71167752
1,Cohort A,13.535934292,58.71167752,13.535934292,58.71167752
1,Cohort A,13.535934292,58.71167752,13.535934292,58.71167752
1,Cohort A,13.535934292,58.71167752,13.535934292,58.71167752
1,Cohort A,13.568788501,58.71167752,13.568788501,58.71167752
1,Cohort A,13.568788501,58.71167752,13.568788501,58.71167752
1,Cohort A,13.568788501,58.71167752,13.568788501,58.71167752
1,Cohort A,13.733059548,58.71167752,13.733059548,58.71167752
1,Cohort A,13.798767967,58.71167752,13.798767967,58.71167752
1,Cohort A,13.897330595,56.984863475,13.897330595,
1,Cohort A,14.028747433,56.984863475,14.028747433,56.984863475
1,Cohort A,14.127310062,56.984863475,14.127310062,56.984863475
1,Cohort A,14.160164271,56.984863475,14.160164271,56.984863475
1,Cohort A,14.22587269,56.984863475,14.22587269,56.984863475
1,Cohort A,14.258726899,56.984863475,14.258726899,56.984863475
1,Cohort A,14.258726899,56.984863475,14.258726899,56.984863475
1,Cohort A,14.258726899,56.984863475,14.258726899,56.984863475
1,Cohort A,14.357289528,56.984863475,14.357289528,56.984863475
1,Cohort A,14.620123203,56.984863475,14.620123203,56.984863475
1,Cohort A,14.652977413,56.984863475,14.652977413,56.984863475
1,Cohort A,14.718685832,56.984863475,14.718685832,56.984863475
1,Cohort A,14.948665298,54.394642408,14.948665298,
1,Cohort A,14.948665298,54.394642408,14.948665298,54.394642408
1,Cohort A,15.145790554,54.394642408,15.145790554,54.394642408
1,Cohort A,15.178644764,54.394642408,15.178644764,54.394642408
1,Cohort A,15.178644764,54.394642408,15.178644764,54.394642408
1,Cohort A,15.178644764,54.394642408,15.178644764,54.394642408
1,Cohort A,15.40862423,54.394642408,15.40862423,54.394642408
1,Cohort A,15.441478439,54.394642408,15.441478439,54.394642408
1,Cohort A,15.441478439,54.394642408,15.441478439,54.394642408
1,Cohort A,15.605749487,54.394642408,15.605749487,54.394642408
1,Cohort A,15.638603696,54.394642408,15.638603696,54.394642408
1,Cohort A,15.901437372,54.394642408,15.901437372,54.394642408
1,Cohort A,16.098562628,54.394642408,16.098562628,54.394642408
1,Cohort A,16.295687885,54.394642408,16.295687885,54.394642408
1,Cohort A,16.558521561,54.394642408,16.558521561,54.394642408
1,Cohort A,16.788501027,54.394642408,16.788501027,54.394642408
1,Cohort A,16.788501027,54.394642408,16.788501027,54.394642408
1,Cohort A,17.018480493,54.394642408,17.018480493,54.394642408
1,Cohort A,17.708418891,54.394642408,17.708418891,54.394642408
1,Cohort A,21.289527721,54.394642408,21.289527721,54.394642408
1,Cohort A,22.045174538,54.394642408,22.045174538,54.394642408
1,Cohort A,22.735112936,54.394642408,22.735112936,54.394642408
2,Cohort B,0,100,0,
2,Cohort B,0.3285420945,98.4375,0.3285420945,
2,Cohort B,0.4928131417,96.875,0.4928131417,
2,Cohort B,0.59137577,95.3125,0.59137577,
2,Cohort B,0.887063655,92.1875,0.887063655,
2,Cohort B,1.0513347023,90.625,1.0513347023,
2,Cohort B,1.18275154,89.0625,1.18275154,
2,Cohort B,1.2813141684,85.9375,1.2813141684,
2,Cohort B,1.5770020534,84.375,1.5770020534,
2,Cohort B,1.5770020534,84.375,1.5770020534,84.375
2,Cohort B,1.7084188912,82.783018868,1.7084188912,
2,Cohort B,1.7741273101,81.191037736,1.7741273101,
2,Cohort B,1.8726899384,79.599056604,1.8726899384,
2,Cohort B,2.1026694045,78.007075472,2.1026694045,
2,Cohort B,2.1683778234,76.41509434,2.1683778234,
2,Cohort B,2.3983572895,74.823113208,2.3983572895,
2,Cohort B,4.4024640657,73.231132075,4.4024640657,
2,Cohort B,5.1909650924,71.639150943,5.1909650924,
2,Cohort B,5.6180698152,70.047169811,5.6180698152,
2,Cohort B,5.9466119097,66.863207547,5.9466119097,
2,Cohort B,6.0780287474,65.271226415,6.0780287474,
2,Cohort B,6.4065708419,63.679245283,6.4065708419,
2,Cohort B,6.5051334702,62.087264151,6.5051334702,
2,Cohort B,6.5379876797,60.495283019,6.5379876797,
2,Cohort B,7.1293634497,60.495283019,7.1293634497,60.495283019
2,Cohort B,7.523613963,58.86027537,7.523613963,
2,Cohort B,8.7392197125,58.86027537,8.7392197125,58.86027537
2,Cohort B,9.1006160164,57.178553216,9.1006160164,
2,Cohort B,9.3305954825,55.496831063,9.3305954825,
2,Cohort B,9.7577002053,53.815108909,9.7577002053,
2,Cohort B,10.020533881,52.133386756,10.020533881,
2,Cohort B,11.071868583,50.451664603,11.071868583,
2,Cohort B,11.334702259,48.769942449,11.334702259,
2,Cohort B,11.334702259,48.769942449,11.334702259,48.769942449
2,Cohort B,11.728952772,47.02815879,11.728952772,
2,Cohort B,11.893223819,47.02815879,11.893223819,47.02815879
2,Cohort B,12.024640657,47.02815879,12.024640657,47.02815879
2,Cohort B,12.41889117,47.02815879,12.41889117,47.02815879
2,Cohort B,12.41889117,47.02815879,12.41889117,47.02815879
2,Cohort B,12.517453799,47.02815879,12.517453799,47.02815879
2,Cohort B,12.616016427,47.02815879,12.616016427,47.02815879
2,Cohort B,12.616016427,47.02815879,12.616016427,47.02815879
2,Cohort B,12.681724846,47.02815879,12.681724846,47.02815879
2,Cohort B,12.681724846,47.02815879,12.681724846,47.02815879
2,Cohort B,12.780287474,47.02815879,12.780287474,47.02815879
2,Cohort B,12.845995893,47.02815879,12.845995893,47.02815879
2,Cohort B,12.878850103,47.02815879,12.878850103,47.02815879
2,Cohort B,12.878850103,47.02815879,12.878850103,47.02815879
2,Cohort B,13.04312115,47.02815879,13.04312115,47.02815879
2,Cohort B,13.075975359,47.02815879,13.075975359,47.02815879
2,Cohort B,13.338809035,47.02815879,13.338809035,47.02815879
2,Cohort B,13.60164271,47.02815879,13.60164271,47.02815879
2,Cohort B,13.733059548,47.02815879,13.733059548,47.02815879
2,Cohort B,13.765913758,47.02815879,13.765913758,47.02815879
2,Cohort B,13.798767967,47.02815879,13.798767967,47.02815879
2,Cohort B,13.798767967,47.02815879,13.798767967,47.02815879
2,Cohort B,13.864476386,47.02815879,13.864476386,47.02815879
2,Cohort B,13.864476386,47.02815879,13.864476386,47.02815879
2,Cohort B,14.160164271,47.02815879,14.160164271,47.02815879
2,Cohort B,14.258726899,47.02815879,14.258726899,47.02815879
2,Cohort B,14.587268994,47.02815879,14.587268994,47.02815879
2,Cohort B,14.915811088,47.02815879,14.915811088,47.02815879
